topic_id,cv_score,size,top_words,word_weights
126,0.8040391794982901,68,"pharmacies, pharmacy, pharmacists, gp, community, pharmacist, services, gps, nhs, service","0.061, 0.034, 0.021, 0.014, 0.012, 0.011, 0.010, 0.009, 0.008, 0.008"
127,0.8531291170893687,68,"taxi, hire, drivers, uber, licensing, private, taxis, london, cabs, vehicles","0.040, 0.037, 0.036, 0.021, 0.018, 0.014, 0.014, 0.013, 0.011, 0.011"
128,0.6466641396787721,67,"rates, business, businesses, relief, revaluation, small, rate, rateable, increases, chancellor","0.051, 0.043, 0.025, 0.021, 0.020, 0.018, 0.018, 0.010, 0.009, 0.007"
129,0.30617180363723445,67,"give, way, member, then, hon, south, ilford, friend, stephen, chislehurst","0.073, 0.056, 0.044, 0.026, 0.022, 0.021, 0.020, 0.018, 0.015, 0.013"
130,0.7517071597744267,66,"atol, travel, holidays, consumers, package, protection, holiday, directive, consumer, holidaymakers","0.039, 0.028, 0.019, 0.018, 0.016, 0.016, 0.014, 0.012, 0.011, 0.010"
131,0.19462884559287505,65,"dissent, indicated, controversial, , , , , , , ","2.929, 1.962, 0.041, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
132,0.6519343642351523,62,"abortion, abortions, women, clinic, clinics, woman, ealing, harassment, act, stopes","0.057, 0.022, 0.019, 0.012, 0.010, 0.009, 0.009, 0.008, 0.008, 0.008"
133,0.40597291870656366,62,"waterways, navigation, commissioners, middle, level, drainage, quarry, boat, river, bill","0.027, 0.025, 0.025, 0.019, 0.015, 0.011, 0.010, 0.009, 0.009, 0.009"
134,0.5505128529328985,61,"banks, levy, bank, banking, tax, labour, surcharge, introduced, bail, billion","0.045, 0.041, 0.034, 0.021, 0.014, 0.009, 0.008, 0.007, 0.007, 0.007"
135,0.7362706239006286,61,"fa, football, game, clubs, league, governance, club, premier, reform, sport","0.069, 0.053, 0.020, 0.019, 0.019, 0.015, 0.014, 0.014, 0.012, 0.012"
136,0.559413923955001,61,"scotland, scottish, barnett, snp, budget, tax, formula, billion, taxed, million","0.027, 0.027, 0.020, 0.018, 0.012, 0.011, 0.010, 0.007, 0.007, 0.007"
